order_id,customer_id,order_date,status
1,39,2023-02-16 12:52:05.841947,Completed
2,15,2022-04-16 23:35:59.519839,Completed
3,376,2023-11-19 10:23:43.674558,Completed
4,497,2023-01-14 05:37:04.341447,Completed
5,4,2022-09-19 13:19:27.989329,Completed
6,349,2022-11-13 23:27:49.756585,Completed
7,470,2023-11-06 01:31:42.634211,Completed
8,409,2023-05-21 02:56:13.124374,Completed
9,397,2023-08-03 12:07:26.548849,Completed
10,210,2022-02-14 05:46:40.533511,Completed
11,161,2023-09-22 19:45:02.100700,Completed
12,16,2022-12-24 02:03:52.877625,Completed
13,493,2022-12-26 12:24:14.884961,Completed
14,426,2023-01-22 06:08:16.965655,Returned
15,108,2023-01-21 18:28:12.564188,Cancelled
16,382,2022-06-10 04:34:10.283427,Completed
17,450,2022-02-08 15:35:49.916638,Completed
18,311,2023-08-21 17:40:11.603867,Completed
19,227,2022-09-03 18:07:04.941647,Returned
20,170,2022-01-13 15:21:54.438146,Completed
21,34,2023-08-20 18:20:02.800933,Completed
22,414,2023-12-05 11:26:08.922974,Completed
23,251,2022-09-12 00:28:19.766588,Completed
24,247,2022-09-13 23:08:37.372457,Completed
25,269,2023-10-31 11:20:52.017339,Completed
26,141,2023-07-15 18:54:37.092364,Cancelled
27,274,2022-10-26 12:05:02.500833,Returned
28,416,2022-12-30 03:54:47.895965,Completed
29,96,2023-11-18 05:13:32.670890,Completed
30,227,2022-12-28 22:44:36.892297,Completed
31,379,2022-09-09 14:07:57.759253,Completed
32,39,2023-04-20 00:11:31.430476,Completed
33,302,2022-07-26 09:01:08.422807,Completed
34,500,2022-03-27 19:22:56.858952,Completed
35,29,2022-09-24 21:40:16.405468,Completed
36,446,2023-12-11 19:07:06.142047,Completed
37,497,2023-02-27 17:13:47.075691,Completed
38,477,2022-12-22 20:53:41.873957,Completed
39,318,2022-08-29 15:36:18.726242,Returned
40,245,2022-11-04 06:06:21.727242,Returned
41,236,2023-04-03 23:09:06.182060,Returned
42,185,2023-03-16 17:36:21.127042,Completed
43,272,2023-07-24 01:15:51.917305,Completed
44,440,2023-07-03 09:22:44.854951,Completed
45,236,2022-09-28 01:30:45.015005,Cancelled
46,239,2022-07-18 14:19:57.999333,Completed
47,377,2023-03-14 07:15:59.119706,Completed
48,266,2023-04-22 10:31:53.437812,Completed
49,414,2023-08-16 09:19:23.187729,Completed
50,409,2023-07-31 14:07:00.140046,Completed
51,359,2023-12-28 01:59:33.591197,Completed
52,340,2022-08-04 20:32:34.251417,Completed
53,389,2023-03-27 21:58:02.360786,Completed
54,65,2022-10-14 20:03:16.865621,Cancelled
55,478,2022-06-12 03:14:27.889296,Completed
56,177,2022-06-03 15:03:10.863621,Completed
57,3,2023-09-30 20:16:14.724908,Completed
58,429,2023-02-04 03:20:13.604534,Cancelled
59,142,2022-02-03 01:24:59.299766,Completed
60,376,2023-04-19 00:51:22.627542,Returned
61,158,2023-02-17 12:12:14.644881,Completed
62,498,2022-04-14 19:05:39.713237,Returned
63,324,2022-12-25 13:04:06.082027,Cancelled
64,146,2023-10-09 08:27:31.750583,Completed
65,446,2023-12-21 00:48:29.769923,Completed
66,293,2022-07-18 20:10:00.200066,Completed
67,153,2023-06-16 20:40:15.205068,Completed
68,432,2022-09-26 20:20:34.011337,Completed
69,193,2023-06-25 14:41:34.431477,Completed
70,437,2022-02-17 21:17:13.544514,Completed
71,494,2023-10-12 06:27:58.159386,Completed
72,463,2023-04-30 22:43:10.463487,Completed
73,73,2023-10-28 13:20:25.608536,Completed
74,399,2023-08-19 01:29:47.395798,Completed
75,305,2022-04-25 05:57:14.344781,Completed
76,377,2023-07-05 13:53:04.661553,Completed
