product_id,product_name,category,unit_price
1,Decide Spor,Sports,2303.57
2,Politics Beau,Beauty,442.25
3,Decision Fash,Books,447.63
4,Star Spor,Electronics,6238.54
5,Everyone Book,Electronics,4078.47
6,Theory Beau,Books,286.48
7,Necessary Elec,Fashion,945.39
8,Defense Elec,Beauty,728.97
9,Help Book,Home & Kitchen,1788.03
10,Score Book,Sports,2157.92
11,It Fash,Home & Kitchen,1299.67
12,Find Elec,Books,301.57
13,College Beau,Electronics,4809.23
14,Among Spor,Electronics,3871.16
15,Official Beau,Sports,1138.1
16,Model Home,Electronics,5882.4
17,Whether Home,Electronics,5003.13
18,Despite Book,Sports,2129.73
19,Rise Fash,Beauty,952.26
20,Worker Home,Beauty,741.36
21,Medical Elec,Sports,2367.1
22,Give Beau,Books,419.2
23,Easy Beau,Electronics,2382.14
24,Able Book,Electronics,3802.04
25,Add Spor,Books,418.94
26,Remain Book,Beauty,878.55
27,Behind Spor,Fashion,582.32
28,What Book,Fashion,614.42
29,Bring Book,Fashion,733.14
30,Thing Book,Beauty,551.88
31,Painting Spor,Beauty,887.17
32,Relationship Spor,Books,315.31
33,Minute Book,Electronics,4759.01
34,Church Home,Books,417.6
35,Believe Fash,Books,450.78
36,State Fash,Beauty,963.44
37,Much Fash,Fashion,868.21
38,Bad Spor,Home & Kitchen,1830.11
39,Several Spor,Electronics,3872.55
40,Several Home,Beauty,614.79
41,Blood Fash,Fashion,1400.28
42,West Fash,Home & Kitchen,985.49
43,Establish Book,Home & Kitchen,850.09
44,Quickly Spor,Beauty,915.11
45,During Fash,Sports,1022.85
46,Loss Beau,Electronics,5615.73
47,Fine Home,Home & Kitchen,1349.56
48,Everything Beau,Beauty,1019.17
49,Majority Beau,Beauty,879.5
50,Apply Home,Fashion,1065.99
51,Black Beau,Sports,2608.75
52,Tax Fash,Electronics,3765.93
53,Contain Spor,Books,610.72
54,Two Home,Fashion,609.6
55,Among Book,Home & Kitchen,1416.61
56,Together Beau,Home & Kitchen,1108.67
57,Fill Home,Fashion,998.25
58,Here Elec,Beauty,476.65
59,Suddenly Elec,Home & Kitchen,1931.8
60,Research Spor,Sports,2423.53
61,Form Fash,Electronics,6111.99
62,Last Spor,Sports,1178.41
63,Single Spor,Home & Kitchen,1617.6
64,Business Spor,Books,409.18
65,Beyond Spor,Electronics,3546.41
66,Today Book,Electronics,3576.47
67,Son Book,Fashion,876.28
68,Voice Home,Fashion,1156.73
69,Answer Elec,Books,461.28
70,Act Spor,Beauty,690.97
71,Together Home,Electronics,2418.92
72,Certainly Elec,Books,242.66
73,Record Beau,Fashion,482.25
74,Radio Fash,Fashion,1408.99
75,Conference Book,Electronics,2122.07
76,Get Beau,Sports,1085.57
77,Help Elec,Home & Kitchen,1173.02
78,Wall Beau,Fashion,1255.13
79,Left Fash,Beauty,1052.71
80,Pretty Elec,Beauty,928.81
81,Executive Beau,Fashion,1142.94
82,Unit Book,Sports,1838.34
83,Significant Book,Sports,1056.07
84,Better Home,Books,612.43
85,Hotel Beau,Beauty,906.04
86,Teacher Spor,Books,478.36
87,Guess Beau,Beauty,906.51
88,Cover Elec,Home & Kitchen,1762.71
89,Build Elec,Home & Kitchen,1637.61
90,Institution Beau,Electronics,6218.42
91,Instead Fash,Books,589.41
92,Loss Book,Fashion,1100.8
93,Expert Elec,Books,501.13
94,Thing Book,Fashion,529.53
95,Image Elec,Sports,2105.85
96,Road Home,Books,228.55
97,Today Spor,Sports,1958.87
98,Mean Elec,Home & Kitchen,2159.07
99,Such Book,Home & Kitchen,1520.36
100,Know Home,Electronics,4087.48
101,Range Elec,Books,341.4
102,Various Fash,Sports,1116.94
103,Subject Spor,Fashion,1181.78
104,Compare Elec,Home & Kitchen,997.34
105,Budget Home,Home & Kitchen,886.01
106,Cause Fash,Fashion,884.89
107,Safe Beau,Sports,2331.62
108,She Home,Sports,2241.12
109,Artist Home,Books,233.05
110,Yes Fash,Books,401.16
111,Three Home,Beauty,736.15
112,Collection Fash,Beauty,824.07
113,Body Elec,Electronics,4830.7
114,Keep Fash,Home & Kitchen,1245.16
115,Which Fash,Books,445.48
116,Performance Spor,Sports,1765.91
117,Meeting Fash,Fashion,1329.6
118,Suffer Fash,Sports,1854.48
119,Outside Beau,Home & Kitchen,1355.09
120,Resource Elec,Beauty,651.23
