transaction_id,customer_id,purchase_date,amount
1,1,2023-08-26,2046.39
2,1,2023-04-24,2601.56
3,1,2023-11-06,2448.64
4,1,2023-09-09,2007.19
5,1,2023-04-01,1603.44
6,1,2023-12-21,1009.11
7,1,2023-11-01,1955.12
8,1,2023-10-31,1896.38
9,1,2023-08-17,2021.65
10,1,2023-08-24,414.75
11,2,2023-05-11,234.9
12,3,2023-03-12,1224.97
13,3,2023-06-12,1468.52
14,3,2023-03-12,2393.38
15,3,2023-04-18,3269.43
16,3,2023-09-08,2756.32
17,3,2023-09-10,1802.06
18,3,2023-09-19,1551.26
19,4,2023-03-09,935.31
20,4,2023-07-31,1174.65
21,4,2023-05-01,1353.71
22,4,2023-10-04,818.27
23,5,2023-07-29,1240.33
24,6,2023-08-19,915.18
25,6,2023-08-22,2661.48
26,6,2023-06-19,1241.92
27,6,2023-07-11,1881.02
28,6,2023-06-01,987.55
29,6,2023-05-10,2627.78
30,6,2023-05-20,1353.86
31,6,2023-06-03,2158.5
32,7,2023-07-12,1294.96
33,7,2023-08-25,2226.18
34,7,2023-05-28,2526.95
35,7,2023-06-12,2153.1
36,7,2023-07-08,963.61
37,7,2023-07-15,2149.18
38,7,2023-04-22,1401.44
39,7,2023-07-21,2171.75
40,8,2023-04-16,502.19
41,8,2023-06-20,397.3
42,9,2023-03-17,534.15
43,10,2023-08-16,257.25
44,11,2023-06-30,2252.07
45,11,2023-06-07,2742.28
46,11,2023-03-30,1484.96
47,11,2023-10-01,1818.28
48,11,2023-10-08,2110.31
49,11,2023-03-25,808.18
50,11,2023-05-22,1549.42
51,11,2023-08-26,2769.62
52,11,2023-09-27,2936.64
53,12,2023-02-16,189.99
54,13,2023-04-21,1684.98
55,13,2023-06-21,1186.64
56,13,2023-06-29,161.94
57,14,2023-03-28,1988.62
58,14,2023-10-03,3908.61
59,14,2023-12-06,1911.9
60,14,2023-04-11,1490.5
61,14,2023-06-22,3278.93
62,14,2023-06-03,1516.62
63,14,2023-07-09,2205.48
64,14,2023-07-24,2488.24
65,15,2023-05-14,583.07
66,15,2023-06-10,778.28
67,16,2022-11-11,646.12
68,17,2023-06-16,625.67
69,17,2022-12-19,301.84
70,17,2023-02-01,481.89
71,18,2023-10-05,1860.55
72,18,2023-11-19,50.0
73,18,2023-06-28,753.45
74,18,2023-08-12,1651.15
75,18,2023-07-13,1830.03
76,18,2023-06-04,2244.79
77,18,2023-05-26,1806.82
78,18,2023-08-23,2481.56
79,18,2023-07-16,1885.79
80,18,2023-09-08,1957.45
81,18,2023-11-10,549.69
82,18,2023-02-27,2729.45
83,19,2023-04-08,627.71
84,19,2023-09-03,1208.38
85,19,2023-03-29,477.86
86,19,2023-02-26,568.49
87,20,2023-12-14,587.26
88,21,2023-05-08,380.07
89,21,2023-07-15,144.86
90,22,2023-04-24,909.67
91,22,2023-08-16,784.88
92,22,2023-06-06,921.42
93,22,2023-05-10,704.19
94,22,2023-07-03,1096.48
95,23,2023-07-19,418.66
96,24,2023-07-14,1926.96
97,24,2023-09-06,2015.04
98,24,2023-12-04,2312.28
99,24,2023-07-07,973.85
100,24,2023-06-21,2013.91
101,24,2023-03-06,1786.85
102,24,2023-10-25,1778.16
103,24,2023-07-04,1308.83
104,25,2023-04-26,1343.98
105,25,2023-10-23,2075.45
106,25,2023-01-26,1542.37
107,26,2023-02-28,1536.43
108,26,2023-04-06,1730.64
109,27,2023-08-01,324.79
110,27,2023-07-26,367.2
111,28,2023-04-22,302.83
112,28,2023-04-09,491.63
113,28,2023-10-20,284.96
114,29,2023-03-13,616.98
115,29,2022-10-01,426.24
116,30,2023-01-22,333.97
117,30,2022-12-22,358.01
118,31,2023-01-12,269.74
119,32,2023-05-27,1649.18
120,32,2023-03-17,1035.77
121,32,2023-03-01,2892.6
122,32,2023-05-16,2019.22
123,32,2023-07-14,1843.93
124,32,2023-08-28,2975.35
125,32,2023-02-27,1722.28
126,33,2023-07-21,323.62
127,33,2023-07-28,389.31
128,34,2023-02-23,1795.79
129,34,2023-02-19,854.28
130,34,2023-09-24,1385.76
131,34,2023-10-04,1293.59
132,34,2023-06-18,2116.43
133,34,2023-10-04,1262.11
134,34,2023-08-08,1491.86
135,34,2023-12-05,1733.89
136,34,2023-05-01,2211.8
137,34,2023-06-14,1464.96
138,35,2023-12-12,1090.41
139,35,2023-11-16,2153.19
140,35,2023-04-02,266.74
141,35,2023-04-30,1583.84
142,35,2023-11-04,2525.49
143,35,2023-06-10,1044.02
144,35,2023-10-12,1228.7
145,35,2023-04-20,2494.43
146,35,2023-10-31,1979.26
147,35,2023-11-04,1875.18
148,35,2023-10-06,2199.31
149,35,2023-11-05,1452.75
150,35,2023-12-12,1993.16
151,36,2023-05-17,601.68
152,36,2023-09-05,1239.96
153,36,2023-03-04,745.28
154,36,2023-07-26,746.52
155,37,2023-06-22,1848.68
156,37,2023-05-11,1267.28
157,37,2023-05-25,2152.85
158,37,2023-03-05,2200.06
159,37,2023-11-20,1984.56
160,37,2023-06-02,1776.37
161,37,2023-06-04,2769.49
162,38,2023-03-14,528.09
163,39,2023-03-06,997.76
164,39,2023-09-09,1137.57
165,39,2023-08-02,681.1
166,39,2023-04-25,1028.83
167,39,2023-10-09,844.65
168,39,2023-10-08,422.92
169,40,2023-05-03,50.0
170,40,2023-01-09,2025.79
171,41,2023-11-05,1273.71
172,41,2023-06-16,2324.28
173,41,2023-08-08,1328.83
174,41,2023-05-08,1522.77
175,41,2023-06-15,1031.3
176,41,2023-08-21,1623.26
177,41,2023-11-30,2141.69
178,41,2023-07-10,2825.81
179,41,2023-10-15,1463.07
180,41,2023-07-28,2051.24
181,41,2023-08-02,1434.27
182,41,2023-12-23,3316.59
183,42,2023-05-04,134.9
184,43,2023-06-06,803.8
185,43,2023-03-06,957.81
186,43,2023-03-29,942.04
187,43,2023-07-09,1247.03
188,43,2023-05-09,1185.92
189,43,2023-07-17,712.02
190,44,2023-01-25,1514.55
191,45,2023-04-01,1357.01
192,45,2023-02-04,1572.82
193,46,2023-05-20,139.85
194,47,2023-09-18,572.73
195,47,2023-11-30,1535.57
196,47,2023-08-01,1175.39
197,48,2023-09-03,1178.74
198,48,2023-01-29,977.17
199,49,2023-06-16,146.95
200,50,2023-09-27,2008.37
201,50,2023-04-17,1435.64
202,50,2023-08-25,1936.15
203,50,2023-10-06,1243.8
204,50,2023-04-30,2023.5
205,50,2023-06-14,977.65
206,50,2023-08-20,283.66
207,50,2023-05-03,1167.35
208,51,2023-01-21,929.21
209,51,2023-06-10,720.85
210,51,2023-04-25,1063.19
211,52,2023-08-03,773.41
212,52,2023-04-24,977.14
213,52,2023-03-04,369.16
214,52,2023-11-12,575.64
215,53,2023-04-25,1678.22
216,54,2023-03-13,811.4
217,55,2023-05-22,1266.61
218,55,2023-03-30,1608.06
219,55,2023-06-23,1852.3
220,55,2023-11-19,2329.6
221,55,2023-06-08,1312.22
222,55,2023-11-09,1784.41
223,55,2023-04-22,1351.08
224,56,2023-04-12,258.42
225,57,2023-08-13,1204.41
226,57,2023-05-15,1397.29
227,57,2023-10-07,2244.85
228,58,2023-03-14,1970.14
229,58,2023-09-06,2239.37
230,58,2023-02-06,2215.39
231,58,2023-11-25,1696.46
232,58,2023-03-02,2164.69
233,58,2023-09-07,1099.37
234,58,2023-05-23,1685.24
235,58,2023-06-07,50.0
236,58,2023-05-18,913.53
237,58,2023-02-28,2676.03
238,59,2023-09-02,1007.84
239,59,2023-08-31,1044.66
240,59,2023-03-25,1159.32
241,59,2023-03-10,1084.77
242,60,2023-03-27,2011.18
243,60,2023-05-19,2813.54
244,60,2023-03-22,1183.09
245,60,2023-10-02,1380.5
246,60,2023-08-27,1703.27
247,61,2023-04-25,715.68
248,61,2023-04-29,1132.21
249,61,2023-11-15,736.07
250,61,2023-07-14,374.75
251,61,2023-11-08,861.4
252,62,2023-04-09,577.49
253,62,2023-02-23,1085.2
254,63,2023-12-11,1717.87
255,63,2023-10-18,2300.37
256,63,2023-06-11,854.47
257,63,2023-12-01,1027.74
258,63,2023-04-07,1571.96
259,63,2023-09-16,2029.93
260,63,2023-10-03,2522.67
261,63,2023-11-25,2619.38
262,63,2023-08-18,1694.02
263,64,2023-06-07,1207.27
264,64,2023-08-19,2363.34
265,64,2023-06-03,2813.99
266,64,2023-07-05,2175.64
267,64,2023-05-17,2340.56
268,64,2023-09-20,50.0
269,64,2023-10-19,3090.95
270,65,2023-08-18,1944.78
271,65,2023-02-28,1717.28
272,66,2023-04-08,1181.79
273,66,2023-07-19,604.29
274,66,2023-02-03,382.28
275,66,2023-10-07,1111.49
276,66,2023-03-29,1215.3
277,67,2023-01-06,1000.1
278,68,2023-08-13,603.52
279,68,2023-06-07,177.82
280,68,2023-05-01,766.21
281,68,2023-06-06,651.21
282,69,2023-05-17,2354.36
283,69,2023-09-18,1757.97
284,69,2023-05-17,1899.62
285,69,2023-10-28,1149.64
286,69,2023-06-03,1634.31
287,69,2023-05-01,1705.89
288,69,2023-05-18,1037.24
289,69,2023-11-03,2590.87
